email_rector,nombre_colegio
rector.abc@aldinti.onmicrosoft.com,ABC
rector.rst@aldinti.onmicrosoft.com,RST
rector.xyz@aldinti.onmicrosoft.com,XYZ
rector.yza@aldinti.onmicrosoft.com,YZA
rector.def@aldinti.onmicrosoft.com,DEF
rector.ghi@aldinti.onmicrosoft.com,GHI
rector.jkl@aldinti.onmicrosoft.com,JKL
rector.bcd@aldinti.onmicrosoft.com,BCD
rector.mno@aldinti.onmicrosoft.com,MNO
rector.pqr@aldinti.onmicrosoft.com,PQR
rector.stu@aldinti.onmicrosoft.com,STU
rector.efg@aldinti.onmicrosoft.com,EFG
rector.hij@aldinti.onmicrosoft.com,HIJ
rector.vwx@aldinti.onmicrosoft.com,VWX
rector.klm@aldinti.onmicrosoft.com,KLM
rector.nop@aldinti.onmicrosoft.com,NOP
rector.multi@aldinti.onmicrosoft.com,ABC
rector.multi@aldinti.onmicrosoft.com,RST
